,draft_year,pick_no,team,player_name
288,2018,18,Columbus Blue Jackets,Liam Foudy
289,2018,19,Philadelphia Flyers,Jay O'Brien
290,2018,20,Los Angeles Kings,Rasmus Kupari
291,2018,21,San Jose Sharks,Ryan Merkley
292,2018,22,New York Rangers,K'Andre Miller
293,2018,23,Anaheim Ducks,Isac Lundestrom
294,2018,24,Minnesota Wild,Filip Johansson
295,2018,25,St. Louis Blues,Dominik Bokk
296,2018,26,Ottawa Senators,Jacob Bernard-Docker
297,2018,27,Chicago Blackhawks,Nicolas Beaudin
298,2018,28,New York Rangers,Nils Lundkvist
299,2018,29,Toronto Maple Leafs,Rasmus Sandin
300,2018,30,Detroit Red Wings,Joe Veleno
301,2018,31,Washington Capitals,Alexander Alexeyev
